Ano Calendário;Faixa de Salários-Mínimos;Bolsas de estudo e de pesquisa caracterizadas como doação, exceto médico-residente ou Pronatec, exclusivamente para proceder a estudos ou pesquisas e desde que os resultados dessas atividades não representem vantagem para o doador, nem importem contraprestação de serviços;Bolsas de estudo e de pesquisa caracterizadas como doação, quando recebidas exclusivamente para proceder a estudos ou pesquisas, recebidas por médico-residente e por servidor da rede pública de educação profissional, científica e tecnológica que participe das atividades do Pronatec;Capital das apólices de seguro ou pecúlio pago por morte do segurado, prêmio de seguro restituído em qualquer caso e pecúlio recebido de entidades de previdência privada em decorrência de morte ou invalidez permanente;"Indenizações por rescisão de contrato de trabalho, inclusive a título de PDV, e por acidente de trabalho; e FGTS";Ganho de capital na alienação de bem, direito ou conjunto de bens ou direitos da mesma natureza, alienados em um mesmo mês, de valor total de alienação até R$ 20.000,00, para ações alienadas no mercado de balcão, e R$ 35.000,00, nos demais casos;Ganho de capital na alienação do único imóvel por valor igual ou inferior a R$ 440.000,00 e que, nos últimos 5 anos, não tenha efetuado nenhuma outra alienação de imóvel;Ganho de capital na venda de imóveis residenciais para aquisição, no prazo de 180 dias, de imóveis residenciais localizados no Brasil e redução sobre o ganho de capital;Ganho de capital na alienação de moeda estrangeira mantida em espécie cujo total de alienações, no ano-calendário, seja igual ou inferior ao equivalente a US$ 5,000.00;Lucros e dividendos recebidos;Parcela isenta de proventos de aposentadoria, reserva remunerada, reforma e pensão de declarante com 65 anos ou mais;Pensão, proventos de aposentadoria ou reforma por moléstia grave ou aposentadoria ou reforma por acidente  em serviço;Rendimentos de cadernetas de poupança, letras hipotecárias, letras de crédito do agronegócio e imobiliário (LCA e LCI) e certificados de recebíveis do agronegócio e imobiliários (CRA e CRI);Rendimento de sócio ou titular de microempresa ou empresa de pequeno porte optante pelo Simples Nacional, exceto pro labore, aluguéis e serviços prestados;Transferências patrimoniais - doações e heranças;75% (setenta e cinco por cento) dos rendimentos do trabalho assalariado recebidos em moeda estrangeira por servidores de autarquias ou repartições do Governo Brasileiro situadas no exterior, convertidos em reais;Incorporação de reservas ao capital / Bonificações em ações;Transferências patrimoniais - meação e dissolução da sociedade conjugal e da unidade familiar;Ganhos líquidos em operações no mercado à vista de ações negociadas em bolsas de valores nas alienações realizadas até R$ 20.000,00 em cada mês, para o conjunto de ações;Ganhos líquidos em operações com ouro, ativo financeiro, nas alienações realizadas até R$ 20.000,00 em cada mês;Rendimento bruto, até o máximo de 90%, da prestação de serviços decorrente do transporte de carga e com trator, máquina de terraplenagem, colheitadeira e assemelhados;Restituição de imposto sobre a renda de anos-calendário anteriores;Outros;Parcela isenta correspondente à atividade rural;Recuperação de prejuízos em Renda Variável (bolsa de valores, de mercadorias, de futuros e assemelhados e fundos de investimento imobiliário);Benefícios ind. e reembolso desp. receb. voluntário Fifa, da Subsidiária Fifa Brasil ou Comitê Organizador Brasileiro (LOC)
2020;Até 1/2;48812763.13;12993921.11;7669250.54;1522546074.0;27028368.22;779166.38;962415.66;403401.54;581826143.9;238940714.2;52889057.39;230289329.0;508407898.6;16836655.49;98337.81;3808879.75;493109.74;151231380.6;4231066.76;2207527.22;370856977.9;7244897556.0;40728329.63;5009836.66;0
2020;De 1/2 a 1;81226500.8;28910792.32;21530446.03;2307265979.0;53647413.24;2108771.95;1030123.93;719089.64;838514028.5;857741188.0;240567833.4;1240196345.0;133746762.0;92473456.41;161958.22;3654571.03;2108827.18;157742147.0;5008372.12;8811884.04;210535094.4;8040335486.0;141111921.3;8007627.34;0
2020;De 1 a 2;267881858.3;55452103.85;88256051.49;3360606888.0;179441278.5;10273456.57;4073448.64;1938451.2;2367641219.0;4858434274.0;2267828624.0;1898815056.0;4400108418.0;482032675.5;819936.44;7147075.19;11417771.26;254491392.7;10535194.52;43984456.1;242506574.6;1003264293.0;611574908.7;19302799.77;0
2020;De 2 a 3;358239044.4;171675105.0;140145674.0;2498797983.0;262827830.2;18028207.49;7148603.94;2076902.05;2633716116.0;1848441365.0;1874055589.0;2683119457.0;4559156906.0;835707178.8;1154280.28;7027905.52;19762276.2;182046487.9;8104161.92;90319352.51;244395658.1;691156739.0;1068001101.0;21948357.4;0
2020;De 3 a 5;480642863.8;464249933.5;326007957.7;3816077063.0;233525032.9;62775154.47;25097191.31;2461007.65;6376004605.0;7633836946.0;5193997858.0;3007103344.0;9580090038.0;2950589476.0;3978686.24;13866145.9;70020057.29;238256134.5;12030456.31;342556911.1;206789681.6;8947205021.0;3281740045.0;41814854.86;0
2020;De 5 a 7;244481499.1;157659111.0;301384678.3;2758896349.0;123419548.9;85807120.17;34612137.94;1643922.94;6598598436.0;2319225427.0;4560091878.0;1896572696.0;8876890268.0;3356987669.0;3982375.25;15335367.58;83789627.58;150597774.4;8534288.68;506160972.5;101126883.0;5157682396.0;4024316579.0;36093898.65;0
2020;De 7 a 10;266090436.8;177020804.1;403199567.9;3152921419.0;121581705.5;158424404.4;76642079.08;1440942.73;109662079.0;1829943622.0;567290081.0;2024505693.0;1218146721.0;3288874169.0;7048836.95;24290155.89;158896556.9;143875148.0;12715318.9;848675488.6;89616764.75;6096925906.0;6243027267.0;45585404.47;0
2020;De 10 a 15;214774620.4;266502084.9;545235130.5;3685363283.0;130117497.3;291734859.8;144463250.8;1505825.59;1695960715.0;1626470836.0;9994093651.0;2282453584.0;1527287559.0;4545023638.0;13886903.18;40138258.11;278039655.3;140794111.3;19289416.83;1375617016.0;92096282.82;8151359305.0;7021649023.0;60842261.14;0
2020;De 15 a 20;70919847.26;59455173.56;460517201.6;2974366796.0;88220038.75;283093742.5;161838792.0;804974.69;1666962993.0;914756203.1;8095921004.0;1660063354.0;1265691273.0;3933730144.0;14807377.11;46316188.82;311328219.7;90738858.53;26154873.83;1043726885.0;65982601.07;5327031728.0;4819990768.0;43487370.43;0
2020;De 20 a 30;57001362.88;32453532.95;654354879.5;3677429277.0;104296790.2;447262600.1;267736736.8;2396718.69;2716611796.0;962215138.6;1296436098.0;225573865.0;1671910581.0;6310561283.0;152491629.3;78217938.92;564702823.6;94587689.65;13241876.9;1181712725.0;102817386.1;6605222343.0;6199722129.0;75368722.73;0
