Ano Calendário,Faixa de Salários-Mínimos,"Bolsas de estudo e de pesquisa caracterizadas como doação, exceto médico-residente ou Pronatec, exclusivamente para proceder a estudos ou pesquisas e desde que os resultados dessas atividades não representem vantagem para o doador, nem importem contraprestação de serviços","Bolsas de estudo e de pesquisa caracterizadas como doação, quando recebidas exclusivamente para proceder a estudos ou pesquisas, recebidas por médico-residente e por servidor da rede pública de educação profissional, científica e tecnológica que participe das atividades do Pronatec","Capital das apólices de seguro ou pecúlio pago por morte do segurado, prêmio de seguro restituído em qualquer caso e pecúlio recebido de entidades de previdência privada em decorrência de morte ou invalidez permanente","Indenizações por rescisão de contrato de trabalho, inclusive a título de PDV, e por acidente de trabalho; e FGTS","Ganho de capital na alienação de bem, direito ou conjunto de bens ou direitos da mesma natureza, alienados em um mesmo mês, de valor total de alienação até R$ 20.000,00, para ações alienadas no mercado de balcão, e R$ 35.000,00, nos demais casos","Ganho de capital na alienação do único imóvel por valor igual ou inferior a R$ 440.000,00 e que, nos últimos 5 anos, não tenha efetuado nenhuma outra alienação de imóvel","Ganho de capital na venda de imóveis residenciais para aquisição, no prazo de 180 dias, de imóveis residenciais localizados no Brasil e redução sobre o ganho de capital","Ganho de capital na alienação de moeda estrangeira mantida em espécie cujo total de alienações, no ano-calendário, seja igual ou inferior ao equivalente a US$ 5,000.00",Lucros e dividendos recebidos,"Parcela isenta de proventos de aposentadoria, reserva remunerada, reforma e pensão de declarante com 65 anos ou mais","Pensão, proventos de aposentadoria ou reforma por moléstia grave ou aposentadoria ou reforma por acidente em serviço","Rendimentos de cadernetas de poupança, letras hipotecárias, letras de crédito do agronegócio e imobiliário (LCA e LCI) e certificados de recebíveis do agronegócio e imobiliários (CRA e CRI)","Rendimento de sócio ou titular de microempresa ou empresa de pequeno porte optante pelo Simples Nacional, exceto pro labore, aluguéis e serviços prestados",Transferências patrimoniais - doações e heranças,Imposto sobre a renda de anos-calendário anteriores compensado judicialmente neste ano-calendário,"75% (setenta e cinco por cento) dos rendimentos do trabalho assalariado recebidos em moeda estrangeira por servidores de autarquias ou repartições do Governo Brasileiro situadas no exterior, convertidos em reais",Incorporação de reservas ao capital / Bonificações em ações,Transferências patrimoniais - meação e dissolução da sociedade conjugal e da unidade familiar,"Ganhos líquidos em operações no mercado à vista de ações negociadas em bolsas de valores nas alienações realizadas até R$ 20.000,00 em cada mês, para o conjunto de ações","Ganhos líquidos em operações com ouro, ativo financeiro, nas alienações realizadas até R$ 20.000,00 em cada mês","Rendimento bruto, até o máximo de 90%, da prestação de serviços decorrente do transporte de carga e com trator, máquina de terraplenagem, colheitadeira e assemelhados","Rendimento bruto, até o máximo de 40%, da prestação de serviços decorrente do transporte de passageiros",Restituição de imposto sobre a renda de anos-calendário anteriores,Outros,Parcela isenta correspondente à atividade rural,"Recuperação de prejuízos em Renda Variável (bolsa de valores, de mercadorias, de futuros e assemelhados e fundos de investimento imobiliário)",Demais Rend. isentos e não-tributáveis dos dependentes,"Benefícios ind. e reembolso desp. receb. voluntário Fifa, da Subsidiária Fifa Brasil ou Comitê Organizador Brasileiro (LOC)"
2020,Até 1/2,"R$ 48.812.763,13","R$ 12.993.921,11","R$ 7.669.250,54","R$ 1.522.546.074,00","R$ 27.028.368,22","R$ 779.166,38","R$ 962.415,66","R$ 403.401,54","R$ 581.826.143,90","R$ 238.940.714,20","R$ 52.889.057,39","R$ 2.302.893.290,00","R$ 508.407.898,60","R$ 16.836.655,49","R$ 728.995,12","R$ 98.337,81","R$ 3.808.879,75","R$ 493.109,74","R$ 151.231.380,60","R$ 4.231.066,76","R$ 2.207.527,22","R$ 16.192.433,22","R$ 370.856.977,90","R$ 7.244.897.556,00","R$ 40.728.329,63","R$ 5.009.836,66","R$ 6.594,08","R$ 0,00"
2020,De 1/2 a 1,"R$ 81.226.500,80","R$ 28.910.792,32","R$ 21.530.446,03","R$ 2.307.265.979,00","R$ 53.647.413,24","R$ 2.108.771,95","R$ 1.030.123,93","R$ 719.089,64","R$ 838.514.028,50","R$ 857.741.188,00","R$ 240.567.833,40","R$ 1.240.196.345,00","R$ 1.337.467.620,00","R$ 92.473.456,41","R$ 882.171,79","R$ 161.958,22","R$ 3.654.571,03","R$ 2.108.827,18","R$ 157.742.147,00","R$ 5.008.372,12","R$ 8.811.884,04","R$ 59.812.458,27","R$ 210.535.094,40","R$ 8.040.335.486,00","R$ 141.111.921,30","R$ 8.007.627,34","R$ 12.059,30","R$ 0,00"
2020,De 1 a 2,"R$ 267.881.858,30","R$ 55.452.103,85","R$ 88.256.051,49","R$ 3.360.606.888,00","R$ 179.441.278,50","R$ 10.273.456,57","R$ 4.073.448,64","R$ 1.938.451,20","R$ 2.367.641.219,00","R$ 48.584.342.740,00","R$ 2.267.828.624,00","R$ 1.898.815.056,00","R$ 4.400.108.418,00","R$ 482.032.675,50","R$ 2.323.511,93","R$ 819.936,44","R$ 7.147.075,19","R$ 11.417.771,26","R$ 254.491.392,70","R$ 10.535.194,52","R$ 43.984.456,10","R$ 120.438.073,10","R$ 242.506.574,60","R$ 10.032.642.930,00","R$ 611.574.908,70","R$ 19.302.799,77","R$ 1.551,17","R$ 0,00"
2020,De 2 a 3,"R$ 358.239.044,40","R$ 171.675.105,00","R$ 140.145.674,00","R$ 2.498.797.983,00","R$ 262.827.830,20","R$ 18.028.207,49","R$ 7.148.603,94","R$ 2.076.902,05","R$ 2.633.716.116,00","R$ 18.484.413.650,00","R$ 1.874.055.589,00","R$ 2.683.119.457,00","R$ 4.559.156.906,00","R$ 835.707.178,80","R$ 2.492.073,98","R$ 1.154.280,28","R$ 7.027.905,52","R$ 19.762.276,20","R$ 182.046.487,90","R$ 8.104.161,92","R$ 90.319.352,51","R$ 77.850.165,50","R$ 244.395.658,10","R$ 6.911.567.390,00","R$ 1.068.001.101,00","R$ 21.948.357,40","R$ 10.291,68","R$ 0,00"
2020,De 3 a 5,"R$ 480.642.863,80","R$ 464.249.933,50","R$ 326.007.957,70","R$ 3.816.077.063,00","R$ 233.525.032,90","R$ 62.775.154,47","R$ 25.097.191,31","R$ 2.461.007,65","R$ 6.376.004.605,00","R$ 7.633.836.946,00","R$ 5.193.997.858,00","R$ 3.007.103.344,00","R$ 9.580.090.038,00","R$ 2.950.589.476,00","R$ 5.463.518,48","R$ 3.978.686,24","R$ 13.866.145,90","R$ 70.020.057,29","R$ 238.256.134,50","R$ 12.030.456,31","R$ 342.556.911,10","R$ 62.455.100,58","R$ 206.789.681,60","R$ 8.947.205.021,00","R$ 3.281.740.045,00","R$ 41.814.854,86","R$ 76.091,03","R$ 0,00"
2020,De 5 a 7,"R$ 244.481.499,10","R$ 157.659.111,00","R$ 301.384.678,30","R$ 2.758.896.349,00","R$ 123.419.548,90","R$ 85.807.120,17","R$ 34.612.137,94","R$ 1.643.922,94","R$ 6.598.598.436,00","R$ 2.319.225.427,00","R$ 4.560.091.878,00","R$ 1.896.572.696,00","R$ 8.876.890.268,00","R$ 3.356.987.669,00","R$ 4.479.726,97","R$ 3.982.375,25","R$ 15.335.367,58","R$ 83.789.627,58","R$ 150.597.774,40","R$ 8.534.288,68","R$ 506.160.972,50","R$ 20.670.689,00","R$ 101.126.883,00","R$ 5.157.682.396,00","R$ 4.024.316.579,00","R$ 36.093.898,65","R$ 143.349,16","R$ 0,00"
2020,De 7 a 10,"R$ 266.090.436,80","R$ 177.020.804,10","R$ 403.199.567,90","R$ 3.152.921.419,00","R$ 121.581.705,50","R$ 158.424.404,40","R$ 76.642.079,08","R$ 1.440.942,73","R$ 10.966.207.900,00","R$ 1.829.943.622,00","R$ 5.672.900.810,00","R$ 2.024.505.693,00","R$ 12.181.467.210,00","R$ 3.288.874.169,00","R$ 4.233.613,98","R$ 7.048.836,95","R$ 24.290.155,89","R$ 158.896.556,90","R$ 143.875.148,00","R$ 12.715.318,90","R$ 848.675.488,60","R$ 13.137.086,13","R$ 89.616.764,75","R$ 6.096.925.906,00","R$ 6.243.027.267,00","R$ 45.585.404,47","R$ 80.024,17","R$ 0,00"
2020,De 10 a 15,"R$ 214.774.620,40","R$ 266.502.084,90","R$ 545.235.130,50","R$ 3.685.363.283,00","R$ 130.117.497,30","R$ 291.734.859,80","R$ 144.463.250,80","R$ 1.505.825,59","R$ 16.959.607.150,00","R$ 1.626.470.836,00","R$ 9.994.093.651,00","R$ 2.282.453.584,00","R$ 15.272.875.590,00","R$ 4.545.023.638,00","R$ 4.930.118,86","R$ 13.886.903,18","R$ 40.138.258,11","R$ 278.039.655,30","R$ 140.794.111,30","R$ 19.289.416,83","R$ 1.375.617.016,00","R$ 10.141.322,54","R$ 92.096.282,82","R$ 8.151.359.305,00","R$ 7.021.649.023,00","R$ 60.842.261,14","R$ 136.049,61","R$ 0,00"
2020,De 15 a 20,"R$ 70.919.847,26","R$ 59.455.173,56","R$ 460.517.201,60","R$ 2.974.366.796,00","R$ 88.220.038,75","R$ 283.093.742,50","R$ 161.838.792,00","R$ 804.974,69","R$ 16.669.629.930,00","R$ 914.756.203,10","R$ 8.095.921.004,00","R$ 1.660.063.354,00","R$ 12.656.912.730,00","R$ 3.933.730.144,00","R$ 2.596.436,84","R$ 14.807.377,11","R$ 46.316.188,82","R$ 311.328.219,70","R$ 90.738.858,53","R$ 26.154.873,83","R$ 1.043.726.885,00","R$ 7.343.212,33","R$ 65.982.601,07","R$ 5.327.031.728,00","R$ 4.819.990.768,00","R$ 43.487.370,43","R$ 213.226,57","R$ 0,00"
2020,De 20 a 30,"R$ 57.001.362,88","R$ 32.453.532,95","R$ 654.354.879,50","R$ 3.677.429.277,00","R$ 104.296.790,20","R$ 447.262.600,10","R$ 267.736.736,80","R$ 2.396.718,69","R$ 27.166.117.960,00","R$ 962.215.138,60","R$ 12.964.360.980,00","R$ 2.255.738.650,00","R$ 16.719.105.810,00","R$ 6.310.561.283,00","R$ 4.435.364,06","R$ 152.491.629,30","R$ 78.217.938,92","R$ 564.702.823,60","R$ 94.587.689,65","R$ 13.241.876,90","R$ 1.181.712.725,00","R$ 8.511.918,70","R$ 102.817.386,10","R$ 6.605.222.343,00","R$ 6.199.722.129,00","R$ 75.368.722,73","R$ 186.879,26","R$ 0,00"
